name,address,birth_data,plasticcard
Mutia Maryati,"Jr. Asia Afrika No. 721, Lhokseumawe 13933, Jambi",1969-11-02,5331023382169374
Padmi Susanti M.Farm,"Dk. Ketandan No. 978, Kotamobagu 49016, KalBar",2000-10-19,5192749337907413
Karen Ayu Nuraini,"Gg. Pelajar Pejuang 45 No. 628, Magelang 97885, SumBar",1976-11-29,4936559258892955
Bagus Pangestu S.E.,"Ds. Dr. Junjunan No. 814, Depok 88910, Lampung",1976-11-17,4532328500101
Violet Halimah,"Ds. Nanas No. 645, Mojokerto 32506, SumSel",1971-07-05,4916260321768
Samsul Sihombing,"Jr. Otto No. 479, Tanjungbalai 61454, SulUt",1962-11-25,4929701723778067
Hendri Mandala,"Ds. Nangka No. 564, Administrasi Jakarta Pusat 90530, KalUt",1964-09-29,4539229000057
Zizi Zulaika,"Gg. Sutarto No. 645, Administrasi Jakarta Timur 51341, SulUt",1994-01-20,5506763495873086
Wardi Setiawan,"Jr. Tentara Pelajar No. 236, Kendari 62155, KalSel",1988-08-29,4532317825434837
Hamzah Kasusra Saragih,"Jr. Abdullah No. 500, Singkawang 88653, Riau",1989-03-11,371618140739327
Cinthia Pudjiastuti,"Ds. Bahagia No. 522, Administrasi Jakarta Timur 59629, SulBar",1989-01-15,4933815794802095
Padmi Siska Nurdiyanti,"Psr. Wahid No. 838, Subulussalam 22551, KalBar",1984-02-26,5285871398590371
Uli Halimah,"Ds. Suryo No. 554, Pekanbaru 33407, JaBar",1995-11-19,4929202737629
Puput Pudjiastuti,"Ki. Raden No. 961, Padang 66237, SulBar",1966-02-23,5150369567614280
Laswi Prabowo,"Ki. Lada No. 126, Pematangsiantar 46484, Maluku",1992-06-01,4916712832024
Kamaria Hani Padmasari,"Dk. Radio No. 615, Batu 23032, KalUt",1969-10-04,4485509402565
Raharja Margana Prasetya,"Jr. Kebangkitan Nasional No. 986, Metro 17026, JaTim",1968-10-09,5298052280236085
Prima Hardiansyah,"Jr. Yogyakarta No. 432, Padang 78886, SulTra",1973-12-11,4679467218175
Bahuraksa Nasab Hidayat S.Farm,"Kpg. Cikutra Barat No. 248, Yogyakarta 91566, Riau",1987-05-03,4716511832328
Diana Hariyah,"Gg. Yogyakarta No. 933, Pasuruan 95287, SulTeng",1994-05-04,4716961982318
Prayogo Marpaung,"Dk. Yogyakarta No. 474, Samarinda 55580, Riau",1972-11-03,6011776440356250
Warsa Daliono Hidayat,"Jln. Sukajadi No. 955, Subulussalam 97273, Gorontalo",1980-05-02,6011981436695014
Ciaobella Yuniar,"Gg. Gardujati No. 614, Ternate 93336, KalTeng",1999-07-10,5544733093865325
Ganep Iswahyudi,"Jln. Bak Mandi No. 805, Dumai 83226, Jambi",1973-04-23,4826835413684765
